method,path,protocol,status,size,referrer,user_agent,malicious
0,96,1,200,0.08015732913658025,1,41,0
0,27,1,200,0.0005597853174203717,1,29,0
0,48,1,404,0.0005205021372505211,17,29,1
0,109,1,200,0.000734104429424084,1,37,0
0,97,1,200,0.07526902840419446,1,35,0
0,6,1,200,0.010454236322701503,0,1,0
0,27,1,200,0.003177027196236671,1,24,0
0,48,1,404,0.0005205021372505211,17,24,1
0,109,1,200,0.000734104429424084,1,35,0
0,97,1,200,0.07516099965872737,1,35,0
0,27,1,200,0.005300774124169222,1,0,0
0,5,1,404,0.0005425989260960621,1,36,1
0,0,1,200,0.02571575181868848,12,4,0
0,105,1,200,0.004222941868258945,15,4,0
0,114,1,404,0.0005745165099840657,15,4,1
0,118,1,200,0.02454953240739604,15,4,0
0,115,1,200,0.0044095369740657355,15,4,0
0,116,1,200,0.003564948600413946,15,4,0
0,117,1,200,0.008494987711730202,15,4,0
0,101,1,200,0.004807279173285473,15,4,0
0,103,1,200,0.18273798855386336,15,4,0
0,122,1,200,0.011993645945607525,15,4,0
0,107,1,200,0.08216813692152448,15,4,0
0,83,1,200,0.15446391962661338,15,4,0
0,82,1,200,0.2164405019408346,15,4,0
0,114,1,404,0.0005745165099840657,15,4,1
0,84,1,200,0.21550998161056126,15,4,0
0,87,1,200,0.16933996891718367,15,4,0
0,85,1,200,0.19796758646596235,15,4,0
0,86,1,200,0.19099236678705322,15,4,0
0,88,1,200,0.23289033363695957,15,4,0
0,120,1,200,0.0008936923488641023,15,4,0
0,74,1,200,0.10629783034085524,15,4,0
0,76,1,200,0.13576758106452508,15,4,0
0,79,1,200,0.10700001718639132,15,4,0
0,75,1,200,0.14076636574113857,15,4,0
0,73,1,200,0.05274994537182757,15,4,0
0,77,1,200,0.1601280631673537,15,4,0
0,78,1,200,0.09741737642370837,15,4,0
0,52,1,200,0.8101075622577025,21,4,0
0,106,1,200,0.012305456188205714,20,4,0
0,119,1,200,0.0001571327206794026,21,4,0
0,121,1,200,0.00019150550332802188,21,4,0
0,0,0,200,0.025683834234800477,14,18,0
0,90,1,200,0.02193229052857974,1,35,0
0,27,1,200,0.04214594192472851,1,40,0
0,27,1,200,0.04256087051527256,1,25,0
0,48,1,404,0.0005205021372505211,17,25,1
0,27,1,200,0.04374427631788931,1,547,0
0,0,1,200,0.02571575181868848,1,38,0
0,27,1,200,0.04444891836218601,1,26,0
0,48,1,404,0.0005205021372505211,17,26,1
0,27,1,200,0.045622503369760294,1,26,0
0,27,1,200,0.04616264709709574,1,26,0
0,109,1,200,0.000734104429424084,1,39,0
0,0,1,200,0.02571575181868848,1,39,0
0,0,1,200,0.02571575181868848,1,3,0
0,89,1,200,0.02422790136975539,1,321,0
1,89,1,200,0.0004493013731926668,1,321,0
0,89,1,200,0.02422790136975539,1,330,0
1,89,1,200,0.0004493013731926668,1,330,0
0,89,1,200,0.02422790136975539,1,522,0
1,89,1,200,0.0004493013731926668,1,522,0
0,89,1,200,0.02422790136975539,1,196,0
1,89,1,200,0.0004493013731926668,1,196,0
0,89,1,200,0.02422790136975539,1,388,0
1,89,1,200,0.0004493013731926668,1,388,0
0,89,1,200,0.02422790136975539,1,439,0
1,89,1,200,0.0004493013731926668,1,439,0
0,89,1,200,0.02422790136975539,1,149,0
1,89,1,200,0.0004493013731926668,1,149,0
0,89,1,200,0.02422790136975539,1,411,0
1,89,1,200,0.0004493013731926668,1,411,0
0,89,1,200,0.02422790136975539,1,353,0
1,89,1,200,0.0004493013731926668,1,353,0
0,89,1,200,0.02422790136975539,1,97,0
1,89,1,200,0.0004493013731926668,1,97,0
0,89,1,200,0.02422790136975539,1,132,0
1,89,1,200,0.0004493013731926668,1,132,0
0,89,1,200,0.02422790136975539,1,352,0
1,89,1,200,0.0004493013731926668,1,352,0
0,89,1,200,0.02422790136975539,1,140,0
1,89,1,200,0.0004493013731926668,1,140,0
0,89,1,200,0.02422790136975539,1,536,0
1,89,1,200,0.0004493013731926668,1,536,0
0,89,1,200,0.02422790136975539,1,116,0
1,89,1,200,0.0004493013731926668,1,116,0
0,89,1,200,0.02422790136975539,1,376,0
1,89,1,200,0.0004493013731926668,1,376,0
0,89,1,200,0.02422790136975539,1,406,0
1,89,1,200,0.0004493013731926668,1,406,0
0,89,1,200,0.02422790136975539,1,438,0
1,89,1,200,0.0004493013731926668,1,438,0
0,89,1,200,0.02422790136975539,1,201,0
1,89,1,200,0.0004493013731926668,1,201,0
0,89,1,200,0.02422790136975539,1,222,0
1,89,1,200,0.0004493013731926668,1,222,0
0,89,1,200,0.02422790136975539,1,84,0
1,89,1,200,0.0004493013731926668,1,84,0
0,89,1,200,0.02422790136975539,1,256,0
1,89,1,200,0.0004493013731926668,1,256,0
0,89,1,200,0.02422790136975539,1,83,0
1,89,1,200,0.0004493013731926668,1,83,0
0,89,1,200,0.02422790136975539,1,202,0
1,89,1,200,0.0004493013731926668,1,202,0
0,89,1,200,0.02422790136975539,1,432,0
1,89,1,200,0.0004493013731926668,1,432,0
0,89,1,200,0.02422790136975539,1,146,0
1,89,1,200,0.0004493013731926668,1,146,0
0,89,1,200,0.02422790136975539,1,294,0
1,89,1,200,0.0004493013731926668,1,294,0
0,89,1,200,0.02422790136975539,1,533,0
1,89,1,200,0.0004493013731926668,1,533,0
0,89,1,200,0.02422790136975539,1,438,0
1,89,1,200,0.0004493013731926668,1,438,0
0,89,1,200,0.02422790136975539,1,356,0
1,89,1,200,0.0004493013731926668,1,356,0
0,89,1,200,0.02422790136975539,1,339,0
1,89,1,200,0.0004493013731926668,1,339,0
0,89,1,200,0.02422790136975539,1,179,0
1,89,1,200,0.0004493013731926668,1,179,0
0,89,1,200,0.02422790136975539,1,98,0
1,89,1,200,0.0004493013731926668,1,98,0
0,89,1,200,0.02422790136975539,1,341,0
1,89,1,200,0.0004493013731926668,1,341,0
0,89,1,200,0.02422790136975539,1,488,0
1,89,1,303,0.0,1,488,0
0,89,1,200,0.02422790136975539,1,544,0
1,89,1,200,0.0004493013731926668,1,544,0
0,89,1,200,0.02422790136975539,1,169,0
1,89,1,200,0.0004493013731926668,1,169,0
0,89,1,200,0.02422790136975539,1,54,0
0,89,1,200,0.02422790136975539,1,311,0
1,89,1,200,0.0004493013731926668,1,311,0
0,89,1,200,0.02422790136975539,1,508,0
1,89,1,200,0.0004493013731926668,1,508,0
0,89,1,200,0.02422790136975539,1,361,0
1,89,1,200,0.0004493013731926668,1,361,0
0,89,1,200,0.02422790136975539,1,64,0
1,89,1,200,0.0004493013731926668,1,64,0
0,89,1,200,0.02422790136975539,1,527,0
1,89,1,200,0.0004493013731926668,1,527,0
0,89,1,200,0.02422790136975539,1,430,0
1,89,1,303,0.0,1,430,0
0,89,1,200,0.02422790136975539,1,294,0
1,89,1,200,0.0004493013731926668,1,294,0
0,89,1,200,0.02422790136975539,1,93,0
1,89,1,200,0.0004493013731926668,1,93,0
0,89,1,200,0.02422790136975539,1,291,0
1,89,1,200,0.0004493013731926668,1,291,0
0,89,1,200,0.02422790136975539,1,424,0
1,89,1,200,0.0004493013731926668,1,424,0
0,89,1,200,0.02422790136975539,1,151,0
1,89,1,200,0.0004493013731926668,1,151,0
0,89,1,200,0.02422790136975539,1,274,0
1,89,1,200,0.0004493013731926668,1,274,0
0,89,1,200,0.02422790136975539,1,413,0
1,89,1,200,0.0004493013731926668,1,413,0
0,89,1,200,0.02422790136975539,1,395,0
1,89,1,200,0.0004493013731926668,1,395,0
0,89,1,200,0.02422790136975539,1,92,0
1,89,1,200,0.0004493013731926668,1,92,0
0,89,1,200,0.02422790136975539,1,243,0
1,89,1,200,0.0004493013731926668,1,243,0
0,89,1,200,0.02422790136975539,1,174,0
1,89,1,200,0.0004493013731926668,1,174,0
0,89,1,200,0.02422790136975539,1,346,0
1,89,1,200,0.0004493013731926668,1,346,0
0,94,1,200,0.037950007242836335,1,35,0
0,89,1,200,0.02422790136975539,1,372,0
1,89,1,200,0.0004493013731926668,1,372,0
0,89,1,200,0.02422790136975539,1,316,0
1,89,1,200,0.0004493013731926668,1,316,0
0,89,1,200,0.02422790136975539,1,112,0
1,89,1,200,0.0004493013731926668,1,112,0
0,89,1,200,0.02422790136975539,1,393,0
1,89,1,200,0.0004493013731926668,1,393,0
0,89,1,200,0.02422790136975539,1,346,0
1,89,1,200,0.0004493013731926668,1,346,0
0,89,1,200,0.02422790136975539,1,63,0
1,89,1,200,0.0004493013731926668,1,63,0
0,89,1,200,0.02422790136975539,1,412,0
1,89,1,200,0.0004493013731926668,1,412,0
0,89,1,200,0.02422790136975539,1,174,0
1,89,1,200,0.0004493013731926668,1,174,0
0,89,1,200,0.02422790136975539,1,288,0
1,89,1,200,0.0004493013731926668,1,288,0
0,89,1,200,0.02422790136975539,1,58,0
0,89,1,200,0.02422790136975539,1,484,0
1,89,1,200,0.0004493013731926668,1,58,0
1,89,1,200,0.0004493013731926668,1,484,0
0,89,1,200,0.02422790136975539,1,419,0
1,89,1,200,0.0004493013731926668,1,419,0
0,89,1,200,0.02422790136975539,1,372,0
1,89,1,200,0.0004493013731926668,1,372,0
0,89,1,200,0.02422790136975539,1,73,0
1,89,1,200,0.0004493013731926668,1,73,0
0,89,1,200,0.02422790136975539,1,256,0
1,89,1,200,0.0004493013731926668,1,256,0
0,89,1,200,0.02422790136975539,1,117,0
1,89,1,200,0.0004493013731926668,1,117,0
0,89,1,200,0.02422790136975539,1,500,0
1,89,1,200,0.0004493013731926668,1,500,0
0,89,1,200,0.02422790136975539,1,485,0
1,89,1,303,0.0,1,485,0
0,89,1,200,0.02422790136975539,1,123,0
1,89,1,200,0.0004493013731926668,1,123,0
0,89,1,200,0.02422790136975539,1,225,0
1,89,1,200,0.0004493013731926668,1,225,0
0,89,1,200,0.02422790136975539,1,507,0
1,89,1,200,0.0004493013731926668,1,507,0
0,89,1,200,0.02422790136975539,1,442,0
1,89,1,200,0.0004493013731926668,1,442,0
0,89,1,200,0.02422790136975539,1,198,0
1,89,1,200,0.0004493013731926668,1,198,0
0,89,1,200,0.02422790136975539,1,87,0
1,89,1,200,0.0004493013731926668,1,87,0
0,89,1,200,0.02422790136975539,1,479,0
1,89,1,200,0.0004493013731926668,1,479,0
0,89,1,200,0.02422790136975539,1,224,0
1,89,1,200,0.0004493013731926668,1,224,0
0,89,1,200,0.02422790136975539,1,320,0
1,89,1,200,0.0004493013731926668,1,320,0
0,89,1,200,0.02422790136975539,1,515,0
1,89,1,303,0.0,1,515,0
0,89,1,200,0.02422790136975539,1,61,0
1,89,1,200,0.0004493013731926668,1,61,0
0,89,1,200,0.02422790136975539,1,219,0
1,89,1,200,0.0004493013731926668,1,219,0
0,89,1,200,0.02422790136975539,1,138,0
1,89,1,200,0.0004493013731926668,1,138,0
0,89,1,200,0.02422790136975539,1,412,0
1,89,1,200,0.0004493013731926668,1,412,0
0,89,1,200,0.02422790136975539,1,513,0
1,89,1,303,0.0,1,513,0
0,89,1,200,0.02422790136975539,1,106,0
1,89,1,200,0.0004493013731926668,1,106,0
0,89,1,200,0.02422790136975539,1,360,0
1,89,1,200,0.0004493013731926668,1,360,0
0,89,1,200,0.02422790136975539,1,56,0
1,89,1,200,0.0004493013731926668,1,56,0
0,89,1,200,0.02422790136975539,1,514,0
1,89,1,303,0.0,1,514,0
0,89,1,200,0.02422790136975539,1,110,0
1,89,1,200,0.0004493013731926668,1,110,0
0,89,1,200,0.02422790136975539,1,148,0
1,89,1,200,0.0004493013731926668,1,148,0
0,89,1,200,0.02422790136975539,1,47,0
1,89,1,303,0.0,1,47,0
0,89,1,200,0.02422790136975539,1,206,0
1,89,1,200,0.0004493013731926668,1,206,0
0,89,1,200,0.02422790136975539,1,44,0
1,89,1,303,0.0,1,44,0
0,89,1,200,0.02422790136975539,1,83,0
1,89,1,200,0.0004493013731926668,1,83,0
0,89,1,200,0.02422790136975539,1,355,0
1,89,1,200,0.0004493013731926668,1,355,0
0,89,1,200,0.02422790136975539,1,51,0
1,89,1,303,0.0,1,51,0
0,89,1,200,0.02422790136975539,1,269,0
0,89,1,200,0.02422790136975539,1,403,0
1,89,1,200,0.0004493013731926668,1,403,0
0,89,1,200,0.02422790136975539,1,473,0
1,89,1,200,0.0004493013731926668,1,473,0
0,89,1,200,0.02422790136975539,1,146,0
1,89,1,200,0.0004493013731926668,1,146,0
0,27,1,200,0.1750163884517271,1,15,0
0,48,1,404,0.0005205021372505211,17,15,1
0,89,1,200,0.02422790136975539,1,381,0
1,89,1,303,0.0,1,381,0
0,89,1,200,0.02422790136975539,1,59,0
1,89,1,200,0.0004493013731926668,1,59,0
0,89,1,200,0.02422790136975539,1,295,0
1,89,1,200,0.0004493013731926668,1,295,0
0,89,1,200,0.02422790136975539,1,226,0
1,89,1,200,0.0004493013731926668,1,226,0
0,89,1,200,0.02422790136975539,1,365,0
1,89,1,200,0.0004493013731926668,1,365,0
0,89,1,200,0.02422790136975539,1,71,0
1,89,1,200,0.0004493013731926668,1,71,0
0,89,1,200,0.02422790136975539,1,369,0
1,89,1,200,0.0004493013731926668,1,369,0
0,89,1,200,0.02422790136975539,1,333,0
1,89,1,200,0.0004493013731926668,1,333,0
0,89,1,200,0.02422790136975539,1,273,0
1,89,1,200,0.0004493013731926668,1,273,0
0,89,1,200,0.02422790136975539,1,215,0
1,89,1,200,0.0004493013731926668,1,215,0
0,0,0,200,0.025683834234800477,14,28,0
0,89,1,200,0.02422790136975539,1,375,0
1,89,1,200,0.0004493013731926668,1,375,0
0,89,1,200,0.02422790136975539,1,370,0
1,89,1,200,0.0004493013731926668,1,370,0
0,89,1,200,0.02422790136975539,1,228,0
1,89,1,200,0.0004493013731926668,1,228,0
0,89,1,200,0.02422790136975539,1,349,0
1,89,1,200,0.0004493013731926668,1,349,0
0,89,1,200,0.02422790136975539,1,271,0
1,89,1,200,0.0004493013731926668,1,271,0
0,89,1,200,0.02422790136975539,1,512,0
1,89,1,303,0.0,1,512,0
0,89,1,200,0.02422790136975539,1,541,0
1,89,1,200,0.0004493013731926668,1,541,0
0,0,1,200,0.02571575181868848,14,16,0
0,93,1,404,0.0034176366747770063,14,16,1
0,89,1,200,0.02422790136975539,1,440,0
1,89,1,200,0.0004493013731926668,1,440,0
0,89,1,200,0.02422790136975539,1,191,0
1,89,1,200,0.0004493013731926668,1,191,0
0,89,1,200,0.02422790136975539,1,99,0
1,89,1,200,0.0004493013731926668,1,99,0
0,89,1,200,0.02422790136975539,1,283,0
0,89,1,200,0.02422790136975539,1,546,0
1,89,1,200,0.0004493013731926668,1,546,0
1,89,1,200,0.0004493013731926668,1,283,0
0,89,1,200,0.02422790136975539,1,387,0
1,89,1,200,0.0004493013731926668,1,387,0
0,89,1,200,0.02422790136975539,1,131,0
